decile,rows,exposure_sum,claims_sum,pred_rate_mean,pred_rate_median,obs_rate,obs_over_pred
0,13561,8644.225304286041,412,0.05277131283465788,0.05441013446346349,0.04766187662828724,0.9031777696647527
1,13560,8571.363480795286,551,0.06579057174039206,0.06582370954341613,0.06428382149870933,0.9770977785748948
2,13560,8387.524756340343,584,0.07482776252066847,0.07486637290120693,0.06962721624857675,0.9304997757930386
3,13560,8112.679839804975,646,0.08334650586458443,0.08335463824121818,0.07962843508631909,0.9553902021482915
4,13561,7735.67385208155,688,0.09212981924052371,0.09208646826333439,0.08893859968189712,0.9653617082402467
5,13560,7113.448437002479,736,0.10169308003889091,0.10164679028700271,0.10346599212999166,1.0174339501805112
6,13560,6508.380484314506,701,0.11267826361764675,0.11254381396270985,0.10770728627335817,0.9558834402954887
7,13560,5942.149891454962,820,0.12635024110587964,0.12605061582711252,0.13799719209022163,1.0921798872910897
8,13560,5544.573435881345,915,0.14931011275939998,0.14786999354561053,0.16502622078709198,1.10525816193721
9,13561,5264.099121935047,1206,0.23695517296623683,0.2113558837544366,0.22909902949484784,0.966845444338502
