orig_decile,orig_rows,orig_true_mean,orig_true_median,orig_pred_mean,orig_pred_median,orig_ratio_true_over_pred_mean,cap_rows,cap_true_mean,cap_true_median,cap_pred_mean,cap_pred_median,cap_ratio_true_over_pred_mean
0,529,1324.155897920605,1128.12,1199.8674717404992,1226.3589364645882,1.1035851284474074,529,1324.155897920605,1128.12,1199.8674717404992,1226.3589364645882,1.1035851284474074
1,529,1812.368336483932,1128.12,1385.3951838938506,1384.8864615406699,1.3081959267319037,529,1618.0587161058604,1128.12,1385.3951838938506,1384.8864615406699,1.167940191302005
2,529,1658.8670699432892,1128.12,1500.2424537245465,1498.9640963330667,1.105732653961989,529,1658.8670699432892,1128.12,1500.2424537245465,1498.9640963330667,1.105732653961989
3,529,1619.4390737240076,1172.0,1607.91550510769,1607.8823306446484,1.0071667749827102,529,1619.4390737240076,1172.0,1607.91550510769,1607.8823306446484,1.0071667749827102
4,529,2215.493270321361,1172.0,1725.7257003905054,1722.8735118057157,1.2838038338422082,529,1922.7273361436676,1172.0,1725.7257003905054,1722.8735118057157,1.1141558219296286
5,529,2169.425765595463,1172.0,1868.994531676672,1867.916223141358,1.1607448437258265,529,2077.4375629867677,1172.0,1868.994531676672,1867.916223141358,1.1115268278089083
6,528,2319.3188257575757,1172.0,2044.9516857024291,2039.3093215518218,1.134168030459313,528,2063.258675795455,1172.0,2044.9516857024291,2039.3093215518218,1.0089522848979866
7,529,2274.032570888469,1172.0,2271.9339088296447,2274.926400836269,1.0009237337629708,529,2273.8246707372405,1172.0,2271.9339088296447,2274.926400836269,1.0008322257528035
8,529,2238.9325330812853,1204.0,2554.636177117999,2547.3742371004796,0.8764193324808884,529,2238.9325330812853,1204.0,2554.636177117999,2547.3742371004796,0.8764193324808884
9,529,2353.73224952741,1190.2,3127.11233569172,3052.3558176879833,0.7526855439962192,529,2353.73224952741,1190.2,3127.11233569172,3052.3558176879833,0.7526855439962192
